,DATE,TAVG,TMAX,TMIN,PRCP
0,1989-01,42.9,53.8,31.9,0.48
1,1989-02,48.7,58.7,38.8,1.18
2,1989-03,57.9,68.7,47.1,2.24
3,1989-04,67.2,81.8,52.7,0.05
4,1989-05,69.5,83.4,55.7,0.89
5,1989-06,77.0,92.3,61.7,0.0
6,1989-07,82.5,99.2,65.7,0.0
7,1989-08,79.2,95.3,63.1,0.03
8,1989-09,74.2,89.1,59.4,1.11
9,1989-10,65.3,79.1,51.4,0.42
10,1989-11,54.3,68.8,39.8,0.5
11,1989-12,43.8,54.7,32.9,0.0
12,1990-01,45.5,56.0,35.0,2.82
13,1990-02,48.0,59.0,37.0,1.33
14,1990-03,57.3,69.3,45.3,0.67
15,1990-04,65.7,79.4,52.0,0.92
16,1990-05,68.1,82.1,54.1,1.65
17,1990-06,76.8,91.8,61.7,0.0
18,1990-07,84.0,99.3,68.7,0.0
19,1990-08,80.6,95.0,66.1,0.0
20,1990-09,75.8,90.6,61.0,0.15
21,1990-10,67.7,83.5,51.9,0.05
22,1990-11,52.9,66.9,38.9,0.46
23,1990-12,41.4,53.2,29.7,0.68
24,1991-01,47.0,57.5,36.4,0.13
25,1991-02,55.8,68.9,42.7,1.01
26,1991-03,51.5,60.3,42.7,7.24
27,1991-04,59.5,72.3,46.7,0.02
28,1991-05,66.1,80.0,52.2,0.03
29,1991-06,74.7,89.9,59.5,0.0
30,1991-07,83.7,99.1,68.4,0.0
31,1991-08,78.6,93.2,64.0,0.0
32,1991-09,79.8,95.6,64.1,0.0
33,1991-10,70.5,85.1,55.9,0.8
34,1991-11,55.8,68.0,43.5,0.04
35,1991-12,47.0,57.2,36.7,1.22
36,1992-01,42.7,48.8,36.6,1.94
37,1992-02,55.5,65.4,45.7,4.73
38,1992-03,58.8,68.4,49.1,2.14
39,1992-04,66.8,80.9,52.7,0.18
40,1992-05,76.0,90.9,61.2,0.0
41,1992-06,76.9,90.7,63.2,0.0
42,1992-07,81.2,95.6,66.9,0.22
43,1992-08,83.2,99.4,66.9,0.0
44,1992-09,76.9,92.9,61.0,0.0
45,1992-10,68.6,81.6,55.5,2.19
46,1992-11,54.2,65.8,42.7,0.0
47,1992-12,45.3,53.5,37.1,2.68
48,1993-01,47.1,54.2,40.0,5.18
49,1993-02,51.9,61.2,42.5,2.44
50,1993-03,60.2,70.9,49.6,1.76
51,1993-04,61.7,74.2,49.2,0.2
52,1993-05,69.9,83.9,55.9,0.25
53,1993-06,75.7,90.3,61.0,1.61
54,1993-07,80.2,95.3,65.1,0.0
55,1993-08,79.7,95.2,64.1,0.0
56,1993-09,75.7,92.0,59.4,0.0
57,1993-10,67.7,81.4,54.1,0.13
58,1993-11,53.9,66.6,41.2,1.17
59,1993-12,45.6,53.4,37.7,1.03
60,1994-01,46.9,57.5,36.2,1.15
61,1994-02,49.9,60.6,39.2,1.92
62,1994-03,59.3,72.0,46.6,0.52
63,1994-04,63.2,76.3,50.1,1.36
64,1994-05,68.4,81.2,55.7,1.3
65,1994-06,77.7,94.4,61.1,0.0
66,1994-07,83.3,99.4,67.2,0.0
67,1994-08,82.3,99.3,65.2,0.0
68,1994-09,75.3,89.9,60.7,0.2
69,1994-10,64.7,78.2,51.2,0.77
70,1994-11,48.1,58.1,38.0,1.57
71,1994-12,45.3,52.1,38.5,1.33
72,1995-01,51.9,58.8,45.0,5.43
73,1995-02,54.1,61.8,46.3,0.94
74,1995-03,56.2,66.1,46.2,5.89
75,1995-04,60.7,72.8,48.5,1.09
76,1995-05,66.2,79.1,53.3,1.19
77,1995-06,73.3,88.5,58.0,0.66
78,1995-07,80.6,96.1,65.2,0.01
79,1995-08,82.5,98.2,66.8,0.0
80,1995-09,76.3,91.3,61.2,0.0
81,1995-10,66.7,81.6,51.9,0.0
82,1995-11,58.7,71.7,45.7,0.0
83,1995-12,50.5,58.7,42.3,2.08
84,1996-01,48.3,55.6,41.0,2.08
85,1996-02,54.3,62.8,45.7,3.57
86,1996-03,57.2,68.9,45.5,1.52
87,1996-04,63.6,77.0,50.2,1.17
88,1996-05,69.9,83.4,56.3,0.38
89,1996-06,77.7,93.2,62.3,0.08
